Date,Country,State(USA only),City,Title
05 Aug 2022, USA,Illinois,Glen Ellyn,2022 Lakeside,"return overlib('Under the direction of Conductor and Music Director Kirk Muspratt, the awarded symphony orchestra performs a highly entertaining mix of classical, Broadway pops, movie scores and more.<BR><BR>no further details available')"
05 Aug 2022, United Kingdom,,Bournemouth,Classical Extravaganza,"return overlib('Enjoy another summer evening in the company of the BSO and some of the best symphonic music ever written. Classics include Borodin’s Polovtsian Dances, Mussorgsky’s A Night on the Bare Mountain, Khachaturian’s Adagio from Spartacus, John Williams’ sparkling score for E.T. and')"
05 Aug 2022, USA,California,Los Angeles,Back to the Future with the LA Phil,"return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean, recharge your flux capacitor, and get ready to experience an unforgettable classic with the LA Phil performing the score!<BR><BR>Back to the Future is a 1.21-gigawatt blockbuster that stamped an enduring imprint on pop culture. In th')"
05 Aug 2022, Italy,,Firenze (Florence),The Most Famous Tanghi And Milongas,return overlib('Fiorentine Chamber Orchestra<BR>Director: Giuseppe Lanzetta<BR>Accordion and Bandoneon: Mario Stefano Petrodarchi<BR><BR>Ennio Morricone - Medley<BR>Nino Rota - Federico Fellini<BR>Astor Piazzolla - Oblivion<BR>Astor Piazzolla - Goodbye Nonino<BR>Astor Piazzolla - Milonga del Angel<BR>Astor Piazzoll')
05 Aug 2022, United Kingdom,,Edenbridge,James Bond Concert Spectacular,"return overlib('Guest Compere Madeline Smith – Live and Let Die<BR><BR>Calling All James Bond Fans! Formed in 2004 as the world’s first dedicated tribute to the music of 007, the group has established themselves, amongst Bond fan clubs around the world, as the finest performers of the songs since the or')"
05 Aug 2022, Germany,,Heidelberg,Mein Name ist …,"return overlib('Agent films - these are exciting stories with cool spies, nasty villains, fast cars and beautiful women. But they are also a selection of brilliant music that makes agents charming, villains evil and special effects spectacular. From the outstanding classic »James Bond« to the modern esp')"
05 Aug 2022, Spain,,La Granja,"Tribute to Morricone, Zimmer and Williams",return overlib('Hans Zimmer - Backdraft<BR>John Williams - ET<BR>Ennio Morricone - Once upon a time in the West<BR>John Williams - Jurassic Park<BR>Hans Zimmer - Spirit<BR>John Williams - Star Wars: Across the Stars<BR>Ennio Morricone - Cinema Paradiso<BR>Ennio Morricone - The mission<BR>Hans Zimmer - Pearl Harbor<')
05 Aug 2022, Germany,,Heidelberg,Mein Name ist … (My name is...),"return overlib('Agent films - these are exciting stories with cool spies, nasty villains, fast cars and beautiful women. But they are also a selection of brilliant music that makes agents charming, villains evil and special effects spectacular. From the outstanding classic »James Bond« to the modern esp')"
06 Aug 2022, Germany,,Aschaffenburg,Pop und Klassik-Gala für die Station Regenbogen,"return overlib('For more than 10 years, well-known and successful artists from Lower Franconia have come together to perform a charity concert series in favour of the \""Station Regenbogen\"" at the University Hospital Würzburg.<BR><BR>\""Let\'s bring a Smile\"" is not only the specially compos')"
06 Aug 2022, United Kingdom,,London,Joe Hisaishi Symphonic Concert: Music from the Studio Ghibli Films of Hayao Miyazaki,"return overlib('Acclaimed multiple award-winning composer, conductor and pianist Joe Hisaishi will be celebrating 35 years of Japanese animation film Studio Ghibli, Inc at London The SSE Arena, Wembley this September. <BR><BR>Studio Ghibli, Inc based in Tokyo, Japan is best known for its anime feature films includi')"
06 Aug 2022, Canada,,Toronto,A New World: intimate music from Final Fantasy,"return overlib('The producers of the live orchestra performance phenomenon Distant Worlds: music from FINAL FANTASY proudly present another breathtaking FINAL FANTASY music experience. A New World: intimate music from FINAL FANTASY features music from the FINAL FANTASY catalogue, in fresh arrangements for small ens')"
06 Aug 2022, Germany,,Gräfenhainichen,The Magical Music of Harry Potter,"return overlib('CONCERT HAS BEEN CANCELED<BR><BR>HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
06 Aug 2022, Germany,,Gräfenhainichen,The music of Hans Zimmer & Others,"return overlib('CONCERT HAS BEEN CANCELED<BR><BR>No other composer has influenced the film world in the past two decades as much as the Oscar, Globe and Emmy winner Hans Zimmer with his staggering compositions for films such as The Lion King, Pirates of the Carribean, Gladiator, The Dark Knight, Man of Steel, Inception and Interstellar. The visito')"
06 Aug 2022, USA,New York,Bethel Woods,Harry Potter and the Sorcerer’s Stone™ in Concert,return overlib('John Williams - Harry Potter and the Sorcerer’s Stone™<BR><BR>The Harry Potter™ film series is a once-in-a-lifetime cultural phenomenon that delights millions of fans around the world. This concert will feature the New Jersey Symphony performing every note from Harry Potter and the')
06 Aug 2022, USA,Maryland,Kent County,Summer with the Symphony: Music For Maryland: Kent County,"return overlib('Baltimore Symphony Orchestra<BR>Jonathan Rush, conductor<BR>Ivan Stefanovic, violin<BR><BR>Repertoire<BR>Coleridge-Taylor - Petite Suite De Concert<BR>Jonathan Leshnoff - Dancing Blue Crabs!<BR>Ludwig Van Beethoven - Romance No. 2 In F Major For Violin And Orchestra<BR>Nkeiru Okoye - Voices Shouting')"
06 Aug 2022, USA,Minnesota,Minneapolis,Disney’s Fantasia Live in Concert ,"return overlib('Disney shares one of its crown jewels of feature animation with a live orchestra accompanying scenes from Walt Disney’s original FANTASIA (1940) and Disney FANTASIA 2000, highlighting a selection of the magnificent repertoire from both films including Tchaikovsky’s The Nutcracker Suite. ')"
06 Aug 2022, USA,New York,Saratoga Springs,The Princess Bride in Concert,"return overlib('Mark Knopfler - The Princess Bride<BR><BR>“As you wish…”<BR><BR>Fencing, fighting, torture, revenge, giants, monsters, chases, escapes, true love, miracles… Experience one of the most beloved films of all time as never before… with the power of a full symphony orches')"
06 Aug 2022, USA,California,San Francisco,The Goonies - In Concert,"return overlib('Dave Grusin - The Goonies<BR><BR>A search for lost pirate treasure takes a band of misfit kids on a wild adventure. Experience director Richard Donner’s 1985 fantasy film favorite like never before, as the SF Symphony performs the memorable score live to the movie on the big screen.')"
06 Aug 2022, USA,California,Los Angeles,Back to the Future with the LA Phil,"return overlib('Alan Silvestri - Back to the Future<BR><BR>Power up your DeLorean, recharge your flux capacitor, and get ready to experience an unforgettable classic with the LA Phil performing the score!<BR><BR>Back to the Future is a 1.21-gigawatt blockbuster that stamped an enduring imprint on pop culture. In th')"
06 Aug 2022, Germany,,Heidelberg,Mein Name ist …,"return overlib('Agent films - these are exciting stories with cool spies, nasty villains, fast cars and beautiful women. But they are also a selection of brilliant music that makes agents charming, villains evil and special effects spectacular. From the outstanding classic »James Bond« to the modern esp')"
06 Aug 2022, Japan,,Tokyo,Distant Worlds,"return overlib('The producers of Distant Worlds: music from FINAL FANTASY are proud to present a new orchestra concert experience: FINAL FANTASY 35th Anniversary Distant Worlds: music from FINAL FANTASY Coral. Specially curated by Nobuo Uematsu, the program is a monumental, retrospective celebration of the incredib')"
06 Aug 2022, Germany,,Heidelberg,Mein Name ist … (My name is...),"return overlib('Agent films - these are exciting stories with cool spies, nasty villains, fast cars and beautiful women. But they are also a selection of brilliant music that makes agents charming, villains evil and special effects spectacular. From the outstanding classic »James Bond« to the modern esp')"
07 Aug 2022, Germany,,Northeim,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
07 Aug 2022, USA,New York,Wantagh,Harry Potter and The Sorcerer’s Stone In Concert,"return overlib('John Williams - Harry Potter and The Sorcerer’s Stone<BR><BR>Relive the film that started it all. Watch the wand choose the wizard, a troll run amok, and magic mirrors in high-definition while the New Jersey Symphony Orchestra performs John Williams’ iconic score. Don’t miss this o')"
07 Aug 2022, United Kingdom,,London,Dragon Ball Symphonic Adventure,"return overlib('The Dragon Ball Symphonic Adventure is coming to The SSE Arena, Wembley in London on Sunday 7th August 2022.<BR>This one-of-a-kind concert experience combines scenes and sounds of Dragon Ball and Dragon Ball Z together with live vocals and a live orchestra to create an immersive multimedia event for')"
07 Aug 2022, USA,Massachusetts,Lenox,Silent Film Music by TMC Composition Fellows,return overlib('Silent Film Music by TMC Composition Fellows<BR><BR>no further details available')
07 Aug 2022, USA,Minnesota,Minneapolis,Disney’s Fantasia Live in Concert ,"return overlib('Disney shares one of its crown jewels of feature animation with a live orchestra accompanying scenes from Walt Disney’s original FANTASIA (1940) and Disney FANTASIA 2000, highlighting a selection of the magnificent repertoire from both films including Tchaikovsky’s The Nutcracker Suite. ')"
07 Aug 2022, USA,California,San Francisco,The Goonies - In Concert,"return overlib('Dave Grusin - The Goonies<BR><BR>A search for lost pirate treasure takes a band of misfit kids on a wild adventure. Experience director Richard Donner’s 1985 fantasy film favorite like never before, as the SF Symphony performs the memorable score live to the movie on the big screen.')"
07 Aug 2022, Germany,,Northeim,The music of Hans Zimmer & Others,"return overlib('No other composer has influenced the film world in the past two decades as much as the Oscar, Globe and Emmy winner Hans Zimmer with his staggering compositions for films such as The Lion King, Pirates of the Carribean, Gladiator, The Dark Knight, Man of Steel, Inception and Interstellar. The visito')"
07 Aug 2022, Denmark,,København (Copenhagen,Sunday on the Lawn: Open Air Concert,"return overlib('Enjoy a magnificent musical afternoon on the lawn in the spirit of film music, when Tivoli\'s own symphony orchestra - the Garden\'s oldest amusement - moves out of the Concert Hall to fill the Lawn with music. In the company of soloists Louise Norby and Morten Ernst Lassen, we pay tribute to songs ')"
07 Aug 2022, Japan,,Tokyo,Distant Worlds,"return overlib('The producers of Distant Worlds: music from FINAL FANTASY are proud to present a new orchestra concert experience: FINAL FANTASY 35th Anniversary Distant Worlds: music from FINAL FANTASY Coral. Specially curated by Nobuo Uematsu, the program is a monumental, retrospective celebration of the incredib')"
07 Aug 2022, Japan,,Tokyo,"Dragon Quest Koichi Sugiyama Symphonic Suite ""Dragon Quest IV"" Guided People","return overlib('Koichi Sugiyama: Symphonic Suite \""Dragon Quest IV\"" Guided Ones<BR><BR>Koichi Sugiyama: Symphonic Suite \""DRAGON QUEST IV\"" MICHIBIKARESHI MONOTACHI<BR>')"
08 Aug 2022, Germany,,Uhingen,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
09 Aug 2022, Germany,,Zwickau,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
09 Aug 2022, Spain,,Girona,Torroella de Montgrí Festival: Metropolis,"return overlib('Vallès Symphony Orchestra<BR>Martín Matalón, conductor<BR>John Eckardt, electric bass<BR>Hubert Steiner, electric guitar<BR>Sylvain Cadars, sound and projection (IRCAM) <BR><BR>Martín Matalón - Fritz Lang\'s Metropolis<BR><BR>The head and hands are not understood i')"
09 Aug 2022, United Kingdom,,London,BBC Proms: Late-Night Brass,"return overlib('Tredegar Band<BR>Ian Porthouse, conductor<BR>Yu-Han Yang, euphonium<BR><BR>The British brass band tradition is one of the marvels of the musical world. With an unbroken history stretching back nearly 150 years, the Tredegar Band is a true virtuoso ensemble, and from its base in Blaenau Gwent it foun')"
10 Aug 2022, Germany,,Magdeburg,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
10 Aug 2022, Poland,,WrocŁaw (Wroclaw),The Cabinet of Doctor Caligari. Organ cinema at the NFM,"return overlib('The penultimate of the shows planned for the summer holidays will feature Dr. Caligari \'s Office, directed by Robert Wieny. This 1920 film represents a movement of German expressionism that had a huge impact on the development of cinematography. The sound layer for the silent frames will be created')"
